timestep,ep_rew_mean
256,-485.3646901666666
512,-453.46302166666663
768,-440.3940636315789
1024,-426.54822072
1280,-428.49108296875
1536,-428.68622781578944
1792,-430.8512573863636
2048,-427.45414174509807
2304,-431.8454509824561
2560,-433.44601159375003
2816,-426.5230351714286
3072,-428.8421550657895
