config,trial,sender_id,policy,avg_rtt_ms,avg_throughput_mbps,avg_loss_pct,avg_reward
cubic_only,0,0,cubic,1267.7498931884766,2.5180000185966493,2.0050942545319796,-14.169687422352075
cubic_only,0,1,cubic,1207.7591718673707,2.644750016927719,1.7843989418686785,-13.001639585483343
cubic_only,0,2,cubic,1272.0296726226807,2.4024999916553496,1.9138358183989634,-14.145468371369384
cubic_only,0,3,cubic,1259.048682785034,1.8635000050067902,0.23901007694527127,-11.205006976734094
cubic_only,1,0,cubic,1228.4911666870116,2.9735000014305113,1.6229149480062428,-12.557241561452091
cubic_only,1,1,cubic,1228.6191452026367,2.746250015497208,1.7409667343318318,-13.021874905192822
cubic_only,1,2,cubic,1200.1364070892334,0.9359249990433455,0.7439848709142522,-12.553408813677493
cubic_only,1,3,cubic,1219.3073024749756,2.784249997138977,1.7632561139039324,-12.935335255418645
cubic_only,2,0,cubic,1270.0269916534423,2.4797500133514405,1.9051199943166761,-14.030759891816336
cubic_only,2,1,cubic,1269.359778213501,2.324500024318695,1.9920450591729513,-14.353187876162218
cubic_only,2,2,cubic,1205.0228713989259,2.3102499932050704,2.1223624048352976,-13.984703530454784
cubic_only,2,3,cubic,1222.887919330597,2.3040000081062315,2.0012861606216457,-13.92745150644303
cubic_only,3,0,cubic,1262.170851135254,2.4817499995231627,1.9567656629999282,-14.053489837829233
cubic_only,3,1,cubic,1252.612775039673,2.054750010371208,0.04264060195218379,-10.556658943929888
cubic_only,3,2,cubic,1262.1708122253417,2.5152499794960024,1.735854498005854,-13.578167138769123
cubic_only,3,3,cubic,1258.0793342590332,2.4137499928474426,1.988192276045066,-14.143427901833022
cubic_only,4,0,cubic,1213.0521030426025,2.889749985933304,1.5313259887527557,-12.303423021998233
cubic_only,4,1,cubic,1164.6387993812561,2.820749992132187,1.7819211816843619,-12.389480365049097
cubic_only,4,2,cubic,1198.8441814422608,0.8598999958485365,1.1553666840609336,-13.439275186695937
cubic_only,4,3,cubic,1213.1898174285889,2.8590000092983248,1.526999893711725,-12.326897952411013
cubic_only,5,0,cubic,1272.5781997680665,2.4882500141859056,1.96163910066123,-14.160810184817219
cubic_only,5,1,cubic,1240.8507097244262,2.295500010251999,2.0378402625667635,-14.18868761212579
cubic_only,5,2,cubic,1221.5388017654418,2.31174997985363,2.127451811590176,-14.15854166098114
cubic_only,5,3,cubic,1268.1533946990967,2.339000004529953,2.0839314359715138,-14.510396814404041
cubic_only,6,0,cubic,1214.9216033935547,2.37925001680851,0.3267250312473194,-10.423416079621676
cubic_only,6,1,cubic,1249.3833744049073,2.348750004172325,2.0144840700551123,-14.17405187998697
cubic_only,6,2,cubic,1245.3095027923584,2.3694999873638154,2.0214682678275815,-14.126531576214933
cubic_only,6,3,cubic,1244.0513534545898,2.3445000052452087,2.058177190983452,-14.212367911267595
cubic_only,7,0,cubic,1221.298369216919,2.633750009536743,1.689155265699964,-12.957544214032373
cubic_only,7,1,cubic,1184.5629524230958,2.444250023365021,1.9005113301129928,-13.202402161091921
cubic_only,7,2,cubic,1235.1276271820068,1.9884999811649322,0.033933517237339665,-10.430643325129816
cubic_only,7,3,cubic,1235.00881690979,2.3187499940395355,1.8840002649349477,-13.79933870492826
cubic_only,8,0,cubic,1228.1245474815369,2.4770000159740446,1.8896632115761836,-13.583571881993691
cubic_only,8,1,cubic,1272.2385818481446,2.3077500104904174,2.0059136201717966,-14.42646304833462
cubic_only,8,2,cubic,1263.7695556640624,2.3127499908208846,2.1115513967426196,-14.54804835930498
cubic_only,8,3,cubic,1232.071896648407,2.3460000336170195,2.056604388810239,-14.087927710487529
cubic_only,9,0,cubic,1224.3951509475708,2.495250016450882,1.8472604616840922,-13.44322241639301
cubic_only,9,1,cubic,1267.9878486633302,2.325750005245209,1.983986991326495,-14.32210246404108
cubic_only,9,2,cubic,1261.4223724365233,2.3012499809265137,2.166476790477863,-14.645927324394446
cubic_only,9,3,cubic,1264.829179763794,2.3344999998807907,2.0842907189051654,-14.48237323556748
ppo_only,0,0,ppo,718.3852230072022,2.2373500227928163,0.19499962149597697,-5.336501450271159
ppo_only,0,1,ppo,719.1761459350586,2.1792499899864195,0.06542980558273301,-5.143371080529632
ppo_only,0,2,ppo,720.2701759338379,2.625749981403351,0.10417132676677383,-4.785294431468576
ppo_only,0,3,ppo,719.8100204467773,2.4724999904632567,0.06029823144727333,-4.846196676899064
ppo_only,1,0,ppo,612.2963726043702,1.8072500020265578,0.15588556565730988,-4.627484855331764
ppo_only,1,1,ppo,613.4842014312744,2.6199999868869783,0.04709884715035524,-3.6090397217264765
ppo_only,1,2,ppo,611.0311992645263,2.090999999642372,0.07090343643960045,-4.161118865882092
ppo_only,1,3,ppo,613.2578754425049,3.005499988794327,0.03189424630805843,-3.190867258246839
ppo_only,2,0,ppo,780.17841796875,2.7307500004768372,0.060696095724479225,-5.192426370659621
ppo_only,2,1,ppo,779.4989780426025,1.7538999974727632,0.111691814741363,-6.264473412435988
ppo_only,2,2,ppo,783.7425682067872,3.5427500128746034,0.07223222910263656,-4.439140127398541
ppo_only,2,3,ppo,775.7196479797364,1.507799994945526,0.14064184541360575,-6.530680175679049
ppo_only,3,0,ppo,592.855322265625,2.563250008225441,0.05610915460203488,-3.4775215236348784
