run,trial,step,rtt_ms,throughput_mbps,reward
ppo_agent,2,22,234.96,9.56,6.956163064342434
ppo_agent,2,23,273.764,9.56,6.580034011138276
ppo_agent,2,24,316.084,9.56,6.167723433661023
ppo_agent,2,25,362.73,9.56,5.711359352453778
ppo_agent,2,26,413.315,9.57,5.224816805316067
ppo_agent,2,27,468.35,9.56,4.6730760493765935
ppo_agent,2,28,525.991,9.56,4.104729945936192
ppo_agent,2,29,590.123,9.56,3.4708889266480405
ppo_agent,2,30,655.331,9.55,2.8157902768239236
ppo_agent,2,31,728.514,9.56,2.1005180659329463
ppo_agent,2,32,801.921,9.56,1.3727112174099236
ppo_agent,2,33,880.536,9.56,0.5923355850696481
ppo_agent,2,34,966.266,9.56,-0.2595222375907138
ppo_agent,2,35,1052.44,9.56,-1.1160098598911574
ppo_agent,2,36,1139.69,9.55,-1.993598489831303
ppo_agent,2,37,1237.94,9.55,-2.971486725547754
ppo_agent,2,38,1340.84,9.55,-3.9961642341291874
ppo_agent,2,39,1441.56,9.56,-4.9891338001048116
ppo_agent,3,0,48.652,5.73,3.8689095680656296
ppo_agent,3,1,45.29,6.7,4.447324771988378
ppo_agent,3,2,41.01,6.64,4.155569719052459
ppo_agent,3,3,40.244,8.37,6.361134187935825
ppo_agent,3,4,43.169,9.56,7.871107708494847
ppo_agent,3,5,40.404,8.35,6.710847904725279
ppo_agent,3,6,41.454,4.62,2.912008000144866
ppo_agent,3,7,40.213,6.93,5.361689057808923
ppo_agent,3,8,40.796,8.65,7.211111769135465
ppo_agent,3,9,44.883,9.57,8.214397243835935
ppo_agent,3,10,52.037,9.56,8.231753633340722
ppo_agent,3,11,58.117,9.55,8.24073007117088
ppo_agent,3,12,40.397,7.8,6.6320234059720775
ppo_agent,3,13,40.444,9.21,8.099954390860407
ppo_agent,3,14,40.349,5.76,4.607306267866416
ppo_agent,3,15,40.566,7.56,6.444994295201079
ppo_agent,3,16,40.586,9.5,8.43023959971068
ppo_agent,3,17,46.949,9.32,8.230930995208475
ppo_agent,3,18,54.14,9.56,8.437711665917718
ppo_agent,3,19,59.264,9.57,8.430911608002877
ppo_agent,3,20,40.264,7.79,6.811970921009214
ppo_agent,3,21,41.279,9.55,8.590626346517054
ppo_agent,3,22,48.266,9.56,8.558656003534493
ppo_agent,3,23,54.453,9.56,8.52186486418589
ppo_agent,3,24,59.44,9.56,8.494710022390704
ppo_agent,3,25,65.992,9.57,8.459905796335937
ppo_agent,3,26,71.065,9.56,8.418146945575039
ppo_agent,3,27,75.088,9.56,8.39539218949218
ppo_agent,3,28,79.338,9.42,8.22889796507614
ppo_agent,3,29,83.014,9.42,8.207018347155753
ppo_agent,3,30,87.189,9.57,8.328982148138468
ppo_agent,3,31,90.738,9.44,8.176286581365042
ppo_agent,3,32,94.417,9.56,8.271515529828692
ppo_agent,3,33,49.356,9.04,8.181947603482792
ppo_agent,3,34,54.449,9.56,8.662517319275432
ppo_agent,3,35,60.512,9.56,8.612732002369242
ppo_agent,3,36,66.171,9.6,8.606294278561583
ppo_agent,3,37,70.977,9.6,8.567779782966758
ppo_agent,3,38,55.64,9.56,8.663886569314649
ppo_agent,3,39,62.878,9.56,8.600809964625865
ppo_agent,4,0,48.16,5.74,5.258399772644043
ppo_agent,4,1,47.04,6.7,4.71731246551629
ppo_agent,4,2,45.949,7.64,5.3685053233517115
ppo_agent,4,3,40.208,7.22,5.142877912313694
ppo_agent,4,4,40.997,9.51,7.829382181906792
ppo_agent,4,5,40.606,7.8,6.136737476866429
ppo_agent,4,6,40.974,9.53,8.076781481867252
ppo_agent,4,7,47.54,9.56,8.206123104458499
ppo_agent,4,8,54.469,9.57,8.267015838261463
ppo_agent,4,9,59.574,9.56,8.297223163581412
ppo_agent,4,10,64.332,9.57,8.33070253329091
ppo_agent,4,11,69.91,9.57,8.332541650127755
ppo_agent,4,12,75.042,9.57,8.328782150643002
ppo_agent,4,13,79.422,9.56,8.31439809044075
ppo_agent,4,14,82.913,9.56,8.313406492708703
ppo_agent,4,15,87.122,9.57,8.31030444364094
ppo_agent,4,16,89.79,9.44,8.178793485851097
ppo_agent,4,17,94.215,9.56,8.276699070310288
ppo_agent,4,18,97.058,9.56,8.267747735014678
ppo_agent,4,19,101.438,9.45,8.131475812389647
ppo_agent,4,20,104.178,9.56,8.229828192168377
ppo_agent,4,21,118.548,9.56,8.100672896214132
ppo_agent,4,22,140.852,9.56,7.89089405034963
ppo_agent,4,23,166.845,9.56,7.643103202440725
ppo_agent,4,24,195.743,9.57,7.375227960514117
ppo_agent,4,25,229.306,9.56,7.039839740756062
ppo_agent,4,26,266.637,9.56,6.676002629169053
ppo_agent,4,27,307.15,9.56,6.279695886950795
ppo_agent,4,28,353.074,9.56,5.828641794410865
ppo_agent,4,29,401.954,9.56,5.347518764731681
ppo_agent,4,30,455.009,9.57,4.8341223943969895
ppo_agent,4,31,512.87,9.55,4.242209126959452
ppo_agent,4,32,574.074,9.56,3.6464744964171185
ppo_agent,4,33,638.668,9.56,3.0064796629538755
ppo_agent,4,34,709.174,9.56,2.306991660624739
ppo_agent,4,35,783.108,9.56,1.5729651550351473
ppo_agent,4,36,857.882,9.56,0.8302368329605958
ppo_agent,4,37,941.819,9.56,-0.02917120241687776
ppo_agent,4,38,1028.12,9.55,-0.8991460176347079
ppo_agent,4,39,0.0,9.56,9.395022809435224
ppo_hybrid_tree,0,0,48.623,5.73,5.243770008087158
ppo_hybrid_tree,0,1,47.037,6.69,4.721502728908696
ppo_hybrid_tree,0,2,45.918,7.65,5.384951028199551
ppo_hybrid_tree,0,3,40.242,7.49,5.079211564483004
ppo_hybrid_tree,0,4,41.607,9.03,7.0901202247256325
ppo_hybrid_tree,0,5,47.073,9.56,7.893455752271529
ppo_hybrid_tree,0,6,52.094,9.56,8.055453844539455
ppo_hybrid_tree,0,7,59.194,9.56,8.131823483377383
ppo_hybrid_tree,0,8,64.04,9.55,8.18210700182815
ppo_hybrid_tree,0,9,69.5,9.57,8.23191287810396
ppo_hybrid_tree,0,10,73.39,9.56,8.249593099272941
ppo_hybrid_tree,0,11,78.714,9.42,8.1104395588803
ppo_hybrid_tree,0,12,82.378,9.57,8.268512704934285
ppo_hybrid_tree,0,13,86.588,9.56,8.254157108862831
ppo_hybrid_tree,0,14,45.002,9.31,8.381511531081497
ppo_hybrid_tree,0,15,52.11,9.56,8.59318248928523
ppo_hybrid_tree,0,16,57.986,9.57,8.573162776864649
ppo_hybrid_tree,0,17,62.894,9.56,8.539068249389102
ppo_hybrid_tree,0,18,68.677,9.54,8.483641769143318
ppo_hybrid_tree,0,19,73.682,9.57,8.48352935310844
ppo_hybrid_tree,0,20,76.388,9.42,8.324445112870503
ppo_hybrid_tree,0,21,40.315,9.57,8.804530867977418
ppo_hybrid_tree,0,22,48.183,9.56,8.732970864543894
ppo_hybrid_tree,0,23,54.487,9.56,8.685335515708417
ppo_hybrid_tree,0,24,60.358,9.57,8.650619815896816
ppo_hybrid_tree,0,25,65.482,9.56,8.602293506356927
ppo_hybrid_tree,0,26,70.758,9.55,8.551405243871862
ppo_hybrid_tree,0,27,75.054,9.57,8.539445685579262
ppo_hybrid_tree,0,28,79.729,9.56,8.492873202442208
ppo_hybrid_tree,0,29,83.486,9.42,8.324871673894249
ppo_hybrid_tree,0,30,87.182,9.57,8.44670622535211
ppo_hybrid_tree,0,31,91.401,9.43,8.272736779636688
ppo_hybrid_tree,0,32,94.523,9.57,8.389267755126054
ppo_hybrid_tree,0,33,97.572,9.56,8.355986219486274
ppo_hybrid_tree,0,34,101.69,9.56,8.321601121997126
ppo_hybrid_tree,0,35,104.592,9.56,8.299012173980111
ppo_hybrid_tree,0,36,118.561,9.56,8.165540429944237
ppo_hybrid_tree,0,37,140.712,9.56,7.949963432582935
ppo_hybrid_tree,0,38,165.57,9.57,7.717012321951944
ppo_hybrid_tree,0,39,194.655,9.56,7.421511852169219
ppo_hybrid_tree,1,0,48.635,5.73,5.243650035858154
ppo_hybrid_tree,1,1,47.058,6.69,4.721292729824223
ppo_hybrid_tree,1,2,45.951,7.64,5.370535113218144
ppo_hybrid_tree,1,3,40.291,7.5,5.083667177545944
ppo_hybrid_tree,1,4,40.389,9.26,7.3323007056826635
ppo_hybrid_tree,1,5,40.619,7.8,5.927841609535417
ppo_hybrid_tree,1,6,40.935,9.54,7.916952505554015
ppo_hybrid_tree,1,7,47.52,9.56,8.061782512225763
ppo_hybrid_tree,1,8,54.468,9.56,8.132039677472521
ppo_hybrid_tree,1,9,59.561,9.56,8.187475871976288
ppo_hybrid_tree,1,10,64.206,9.56,8.224527826313928
ppo_hybrid_tree,1,11,70.103,9.57,8.242150832450122
ppo_hybrid_tree,1,12,75.03,9.57,8.248154493722412
ppo_hybrid_tree,1,13,79.647,9.56,8.238202057672039
ppo_hybrid_tree,1,14,83.295,9.43,8.11152925533998
ppo_hybrid_tree,1,15,87.213,9.57,8.245965265972218
ppo_hybrid_tree,1,16,90.347,9.56,8.234016460345597
ppo_hybrid_tree,1,17,94.385,9.56,8.21926875403044
ppo_hybrid_tree,1,18,97.265,9.56,8.213318900205921
ppo_hybrid_tree,1,19,101.651,9.57,8.199865032368521
ppo_hybrid_tree,1,20,104.307,9.58,8.201560426310646
ppo_hybrid_tree,1,21,120.261,9.56,8.038955284903023
ppo_hybrid_tree,1,22,142.405,9.56,7.8329529207318584
ppo_hybrid_tree,1,23,168.02,9.57,7.600812140488504
ppo_hybrid_tree,1,24,199.112,9.56,7.292936795840796
ppo_hybrid_tree,1,25,233.63,9.56,6.9596988622085245
ppo_hybrid_tree,1,26,271.535,9.56,6.591668814509881
ppo_hybrid_tree,1,27,313.14,9.56,6.185839739059149
ppo_hybrid_tree,1,28,359.08,9.56,5.736042089409073
ppo_hybrid_tree,1,29,408.604,9.56,5.249691257606663
ppo_hybrid_tree,1,30,462.758,9.56,4.716471057422878
ppo_hybrid_tree,1,31,520.232,9.57,4.159547733371252
ppo_hybrid_tree,1,32,583.671,9.56,3.5224870016871677
ppo_hybrid_tree,1,33,648.81,9.56,2.8780617455191653
ppo_hybrid_tree,1,34,721.076,9.56,2.161874364897832
ppo_hybrid_tree,1,35,794.719,9.56,1.4316158881632104
ppo_hybrid_tree,1,36,872.553,9.55,0.6491306848697409
ppo_hybrid_tree,1,37,958.236,9.56,-0.19224210571337252
ppo_hybrid_tree,1,38,1043.92,9.56,-1.0438090733343675
ppo_hybrid_tree,1,39,1130.87,9.56,-1.9083164509486306
ppo_hybrid_tree,2,0,48.749,5.74,5.252509765625
ppo_hybrid_tree,2,1,47.442,6.7,4.6287734086118535
ppo_hybrid_tree,2,2,45.409,7.66,5.334564814205058
ppo_hybrid_tree,2,3,40.764,7.25,4.947441826622411
ppo_hybrid_tree,2,4,40.195,6.35,4.1285957439334515
ppo_hybrid_tree,2,5,40.236,8.03,6.143621467520657
ppo_hybrid_tree,2,6,41.719,9.54,7.919663252806232
ppo_hybrid_tree,2,7,49.521,9.56,8.062863638258623
ppo_hybrid_tree,2,8,54.579,9.56,8.154990341428567
ppo_hybrid_tree,2,9,61.154,9.56,8.196580727082447
ppo_hybrid_tree,2,10,66.497,9.56,8.22664994041227
ppo_hybrid_tree,2,11,71.099,9.56,8.247576240161877
ppo_hybrid_tree,2,12,75.96,9.56,8.253377495887479
ppo_hybrid_tree,2,13,79.912,9.57,8.269529881298979
ppo_hybrid_tree,2,14,84.708,9.57,8.259791798443823
ppo_hybrid_tree,2,15,87.976,9.56,8.250132913486933
ppo_hybrid_tree,2,16,91.978,9.57,8.248799315878543
ppo_hybrid_tree,2,17,95.077,9.57,8.242745443410953
ppo_hybrid_tree,2,18,99.128,9.56,8.214400457900497
ppo_hybrid_tree,2,19,102.117,9.56,8.20429622654073
ppo_hybrid_tree,2,20,120.124,9.56,8.042189124704322
ppo_hybrid_tree,2,21,143.834,9.57,7.831532721688451
ppo_hybrid_tree,2,22,171.145,9.56,7.563306273765376
ppo_hybrid_tree,2,23,202.574,9.56,7.262634793754605
ppo_hybrid_tree,2,24,238.307,9.56,6.917811355841737
ppo_hybrid_tree,2,25,277.707,9.56,6.535311364673434
ppo_hybrid_tree,2,26,320.66,9.56,6.116411958968625
ppo_hybrid_tree,2,27,367.797,9.56,5.654857010730962
ppo_hybrid_tree,2,28,419.122,9.54,5.1132680514330255
ppo_hybrid_tree,2,29,404.005,8.71,4.440967326577599
ppo_hybrid_tree,2,30,331.047,9.56,6.0286405782919275
ppo_hybrid_tree,2,31,352.308,9.56,5.823570691916464
ppo_hybrid_tree,2,32,374.798,9.56,5.605652453584492
ppo_hybrid_tree,2,33,394.915,9.56,5.41100735365217
ppo_hybrid_tree,2,34,412.618,9.56,5.240088899626019
ppo_hybrid_tree,2,35,425.579,9.56,5.116126756678981
