config,trial,sender_id,policy,step,rtt_ms,throughput_mbps,loss_pct,reward
cubic_only,0,0,cubic,0,165.67100524902344,2.4700000286102295,0.0,0.8132899761199952
cubic_only,0,0,cubic,1,193.74200439453125,2.440000057220459,0.0,0.5025800132751466
cubic_only,0,0,cubic,2,221.76800537109375,2.4700000286102295,0.0,0.2523199748992919
cubic_only,0,0,cubic,3,245.32899475097656,2.5,0.0,0.04671005249023441
cubic_only,0,0,cubic,4,269.5889892578125,2.490000009536743,0.0,-0.20588988304138178
cubic_only,0,0,cubic,5,299.1180114746094,2.509999990463257,0.0,-0.4811801242828371
cubic_only,0,0,cubic,6,318.510009765625,2.4200000762939453,0.0,-0.7651000213623047
cubic_only,0,0,cubic,7,351.2340087890625,2.4600000381469727,0.0,-1.0523400497436524
cubic_only,0,0,cubic,8,367.62799072265625,2.4100000858306885,0.0,-1.266279821395874
cubic_only,0,0,cubic,9,402.6449890136719,2.4800000190734863,0.0,-1.5464498710632322
cubic_only,0,0,cubic,10,421.43798828125,2.4700000286102295,0.0,-1.7443798542022702
cubic_only,0,0,cubic,11,466.33099365234375,2.380000114440918,0.0,-2.2833098220825194
cubic_only,0,0,cubic,12,534.905029296875,2.3399999141693115,0.0,-3.0090503787994383
cubic_only,0,0,cubic,13,623.8170166015625,2.5299999713897705,0.0,-3.708170194625854
cubic_only,0,0,cubic,14,746.4030151367188,2.569999933242798,0.0,-4.8940302181243895
cubic_only,0,0,cubic,15,797.3389892578125,2.380000114440918,0.0,-5.593389778137207
cubic_only,0,0,cubic,16,984.8189697265625,2.490000009536743,0.0,-7.358189687728881
cubic_only,0,0,cubic,17,1060.7900390625,2.259999990463257,0.0,-8.347900400161743
cubic_only,0,0,cubic,18,1200.300048828125,2.6600000858306885,0.0,-9.343000402450562
cubic_only,0,0,cubic,19,1213.3800048828125,2.5899999141693115,0.0,-9.543800134658813
cubic_only,0,0,cubic,20,1358.68994140625,2.369999885559082,0.0,-11.216899528503419
cubic_only,0,0,cubic,21,1572.510009765625,2.819999933242798,0.0,-12.905100164413453
cubic_only,0,0,cubic,22,1581.4000244140625,2.7100000381469727,0.0,-13.104000205993652
cubic_only,0,0,cubic,23,1827.77001953125,2.450000047683716,0.0,-15.827700147628786
cubic_only,0,0,cubic,24,1921.5,2.9200000762939453,0.0,-16.294999923706055
cubic_only,0,0,cubic,25,2015.2099609375,3.1600000858306885,0.0,-16.99209952354431
cubic_only,0,0,cubic,26,2040.3199462890625,3.0199999809265137,0.0,-17.383199481964112
cubic_only,0,0,cubic,27,2247.3798828125,2.7799999713897705,0.22156573116691286,-20.13693031906905
cubic_only,0,0,cubic,28,2379.02001953125,2.7100000381469727,1.5911282545805208,-24.26245666632657
cubic_only,0,0,cubic,29,2381.699951171875,2.7100000381469727,5.8721183123097,-32.85123609819118
cubic_only,0,0,cubic,30,2382.260009765625,2.7100000381469727,5.888744024337245,-32.89008810818377
cubic_only,0,0,cubic,31,2382.260009765625,2.7100000381469727,5.888744024337245,-32.89008810818377
cubic_only,0,0,cubic,32,2208.7900390625,2.4600000381469727,6.066411238825032,-31.76072283012809
cubic_only,0,0,cubic,33,2106.14990234375,2.130000114440918,7.866958773152758,-34.66541645530209
cubic_only,0,0,cubic,34,2079.050048828125,2.130000114440918,7.866958773152758,-34.39441792014585
cubic_only,0,0,cubic,35,1973.25,2.2899999618530273,7.866958773152758,-33.176417584452494
cubic_only,0,0,cubic,36,1844.9599609375,2.2799999713897705,7.790525536639526,-31.75065071126428
cubic_only,0,0,cubic,37,1837.8399658203125,2.259999990463257,7.840971838763115,-31.8003433452661
cubic_only,0,0,cubic,38,1837.8399658203125,2.259999990463257,7.840971838763115,-31.8003433452661
cubic_only,0,0,cubic,39,1847.3399658203125,2.5199999809265137,7.601713062098501,-31.156825801473612
cubic_only,0,1,cubic,0,169.23500061035156,2.440000057220459,0.0,0.7476500511169433
cubic_only,0,1,cubic,1,195.7949981689453,2.4200000762939453,0.0,0.4620500946044921
cubic_only,0,1,cubic,2,215.82899475097656,2.390000104904175,0.0,0.23171015739440914
cubic_only,0,1,cubic,3,246.85499572753906,2.4600000381469727,0.0,-0.008549919128418182
cubic_only,0,1,cubic,4,271.7919921875,2.4200000762939453,0.0,-0.2979198455810548
cubic_only,0,1,cubic,5,294.4259948730469,2.3499999046325684,0.0,-0.5942600440979002
cubic_only,0,1,cubic,6,322.1709899902344,2.390000104904175,0.0,-0.8317097949981691
cubic_only,0,1,cubic,7,354.8869934082031,2.440000057220459,0.0,-1.1088698768615721
cubic_only,0,1,cubic,8,371.35198974609375,2.390000104904175,0.0,-1.3235197925567626
cubic_only,0,1,cubic,9,402.1319885253906,2.4100000858306885,0.0,-1.6113197994232173
cubic_only,0,1,cubic,10,429.5950012207031,2.4700000286102295,0.0,-1.8259499835968018
cubic_only,0,1,cubic,11,475.9909973144531,2.5,0.0,-2.2599099731445316
cubic_only,0,1,cubic,12,548.3779907226562,2.5299999713897705,0.0,-2.953779935836792
cubic_only,0,1,cubic,13,652.1229858398438,2.5299999713897705,0.0,-3.991229887008667
cubic_only,0,1,cubic,14,677.7769775390625,2.3499999046325684,0.0,-4.427769870758056
cubic_only,0,1,cubic,15,790.1719970703125,2.569999933242798,0.0,-5.331720037460327
cubic_only,0,1,cubic,16,1005.4299926757812,2.259999990463257,0.0,-7.794299936294555
cubic_only,0,1,cubic,17,1045.199951171875,2.4800000190734863,0.0,-7.9719994926452635
cubic_only,0,1,cubic,18,1128.9599609375,2.259999990463257,0.0,-9.029599618911742
cubic_only,0,1,cubic,19,1303.1700439453125,2.6600000858306885,0.0,-10.371700353622437
cubic_only,0,1,cubic,20,1337.8399658203125,2.4000000953674316,0.0,-10.978399562835694
cubic_only,0,1,cubic,21,1565.31005859375,2.309999942779541,0.0,-13.343100643157959
cubic_only,0,1,cubic,22,1701.6600341796875,2.8399999141693115,0.0,-14.176600427627562
cubic_only,0,1,cubic,23,1701.6600341796875,2.8399999141693115,0.0,-14.176600427627562
cubic_only,0,1,cubic,24,1804.9300537109375,2.740000009536743,0.0,-15.309300527572631
cubic_only,0,1,cubic,25,2086.699951171875,2.700000047683716,0.0,-18.166999464035033
cubic_only,0,1,cubic,26,2240.47998046875,3.140000104904175,0.0,-19.264799699783325
cubic_only,0,1,cubic,27,2240.47998046875,3.140000104904175,0.0,-19.264799699783325
cubic_only,0,1,cubic,28,40.05699920654297,3.059999942779541,0.0,2.6594299507141113
cubic_only,0,1,cubic,29,2375.239990234375,3.049999952316284,0.18357044515832951,-21.069540840344125
cubic_only,0,1,cubic,30,2383.010009765625,3.049999952316284,4.7779414860029465,-30.335983117345858
cubic_only,0,1,cubic,31,2385.3701171875,3.049999952316284,5.732872535068103,-32.26944628969492
cubic_only,0,1,cubic,32,2246.39990234375,3.069999933242798,6.209807073954984,-31.81361323810467
cubic_only,0,1,cubic,33,2048.449951171875,2.809999942779541,6.352941176470588,-30.380381921880385
cubic_only,0,1,cubic,34,1928.77001953125,2.390000104904175,8.17633071154198,-33.25036151349228
cubic_only,0,1,cubic,35,1928.77001953125,2.390000104904175,8.17633071154198,-33.25036151349228
cubic_only,0,1,cubic,36,1879.52001953125,2.5399999618530273,8.149221296631655,-32.55364282672278
cubic_only,0,1,cubic,37,1852.239990234375,3.1600000858306885,7.897852190089633,-31.158104196692328
cubic_only,0,1,cubic,38,1847.0999755859375,3.1500000953674316,7.885065152021383,-31.09112996453471
cubic_only,0,1,cubic,39,1815.1099853515625,3.240000009536743,7.83402489626556,-30.579149636510003
cubic_only,0,2,cubic,0,171.55999755859375,2.369999885559082,0.0,0.6543999099731446
cubic_only,0,2,cubic,1,195.69700622558594,2.380000114440918,0.0,0.4230300521850585
cubic_only,0,2,cubic,2,218.22500610351562,2.430000066757202,0.0,0.24775000572204586
cubic_only,0,2,cubic,3,241.03500366210938,2.359999895095825,0.0,-0.05035014152526873
cubic_only,0,2,cubic,4,264.468994140625,2.3499999046325684,0.0,-0.29469003677368155
cubic_only,0,2,cubic,5,292.37298583984375,2.3499999046325684,0.0,-0.5737299537658691
cubic_only,0,2,cubic,6,324.6929931640625,2.4200000762939453,0.0,-0.8269298553466795
cubic_only,0,2,cubic,7,347.97900390625,2.3399999141693115,0.0,-1.1397901248931883
cubic_only,0,2,cubic,8,373.94000244140625,2.4100000858306885,0.0,-1.3293999385833741
cubic_only,0,2,cubic,9,394.3370056152344,2.359999895095825,0.0,-1.5833701610565187
cubic_only,0,2,cubic,10,434.1730041503906,2.390000104904175,0.0,-1.9517299365997314
cubic_only,0,2,cubic,11,490.0820007324219,2.5,0.0,-2.400820007324219
cubic_only,0,2,cubic,12,564.5269775390625,2.490000009536743,0.0,-3.155269765853882
cubic_only,0,2,cubic,13,608.97802734375,2.25,0.0,-3.8397802734375004
